"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"UX_non_workingday_total_woETC_avg","0.1872773","0.1440178","0.1410394","0.1179849","0.1685403","0.1883777","0.1782935","0.2157009","0.1496372","0.1301292","0.1320972","0.1017323"
"UX_non_workingday_total_woETC_base","0.08606405","0.05267600","0.04753488","0.07287250","0.09927394","0.09938864","0.09400000","0.09039286","0.07333333","0.07060811","0.07455556","0.05343632"
"UX_non_workingday_computer_peak","0.11397125","0.11065100","0.10294650","0.11285250","0.11840003","0.12595710","0.13458824","0.12632143","0.10375000","0.11174324","0.12416667","0.09148573"
"UX_non_workingday_computer_avg","0.09122413","0.07418436","0.06577598","0.08967830","0.09390441","0.10054286","0.10735600","0.09914509","0.08663889","0.08724072","0.09552083","0.06880713"
"UX_non_workingday_computer_base","0.07020660","0.04675225","0.04359894","0.06990375","0.07220048","0.07985607","0.08564706","0.07650000","0.07066667","0.06588069","0.06961111","0.05089511"
"UX_non_workingday_light_peak","0.20252940","0.16292550","0.14338806","0.04447525","0.14887826","0.18520625","0.19479412","0.13778571","0.09933333","0.08644595","0.09150000","0.09520577"
"UX_non_workingday_light_avg","0.09487076","0.06100224","0.05556643","0.02396226","0.06757404","0.08330000","0.06712316","0.06283259","0.02409549","0.02962838","0.03310069","0.02870592"
"UX_non_workingday_light_base","0.0107826500","0.0000000000","0.0000000000","0.0000000000","0.0226896613","0.0148087500","0.0030588235","0.0000000000","0.0000000000","0.0007837838","0.0000000000","0.0000000000"
"UX_non_workingday_hvac_peak","0.001348300","0.001376000","0.005958250","0.009558000","0.007501113","0.007873697","0.006323529","0.011357143","0.003166667","0.003621622","0.007444444","0.010079591"
"UX_non_workingday_hvac_avg","0.001182365","0.001225693","0.002988438","0.004344302","0.004361468","0.003915368","0.003814338","0.007110119","0.002711806","0.002330177","0.003475694","0.004219257"
"UX_non_workingday_hvac_base","0.001007450","0.001011000","0.001131688","0.001787500","0.001847016","0.001965288","0.002000000","0.003500000","0.002000000","0.001877905","0.002000000","0.001614068"
"MARG_allDay_light_on_duration","17.17742","13.53571","19.55833","18.53571","16.79798","16.37383","15.13426","17.12195","15.72619","15.24762","18.61607","18.81250"
"MARG_workingday_light_on_duration","18.67857","15.75000","20.46591","21.10000","19.27941","19.02872","18.35811","19.96296","17.48333","18.12132","19.92105","20.81481"
"MARG_non_workingday_light_on_duration","14.025000"," 8.000000","17.062500","12.125000","11.354839","10.420455"," 8.117647","11.642857","11.333333"," 9.966216","15.861111","13.897727"
"HCC_allDay_light_on_duration","17.75000","16.82143","19.66667","16.64286","17.87626","18.07243","18.58796","17.02439","17.84524","14.61905","19.32143","19.56250"
"HCC_workingday_light_on_duration","19.21429","19.65000","20.20455","19.35000","20.33088","20.40203","19.87838","19.92593","19.45000","18.35294","20.92105","20.81019"
"HCC_non_workingday_light_on_duration","14.675000"," 9.750000","18.187500"," 9.875000","12.491935","12.848485","15.779412","11.428571","13.833333"," 7.756757","15.944444","16.500000"
