id,joined,leaved
376,1445389231008,1445389231962
377,1445389577988,1445389578605
378,1445389999688,1445390000294
379,1445390694301,1445390694793
381,1445391129489,1445391130086
382,1445391331118,1445391331616
383,1445393263707,1445393263883
384,1445394256972,1445394257696
385,1445394258125,1445394258496
386,1445394421314,1445394421345
387,1445394422426,1445394422591
388,1445394507292,1445394507327
389,1445394809794,1445394809865
390,1445395199908,1445395200756
391,1445395252603,1445395253300
392,1445397890737,1445397910823
393,1445398551524,1445398552596
394,1445398557091,1445398557700
395,1445399266912,1445399267561
396,1445399341611,1445399342352
397,1445399489692,1445399490693
398,1445400048555,1445400048998
399,1445402961026,1445402961800
400,1445403261680,1445403264605
401,1445403267016,1445403268582
402,1445403334199,1445403335824
403,1445403336028,1445403336222
404,1445403487338,1445403488422
405,1445403488647,1445403488932
406,1445403795870,1445403796149
407,1445403970911,1445403971647
408,1445405138515,1445405140208
409,1445405218738,1445405220171
410,1445405465087,1445405465261
411,1445405915043,1445405916275
412,1445406189689,1445406190560
413,1445406788472,1445406788691
414,1445406941272,1445406941849
415,1445408119479,1445408119519
416,1445408773170,1445408773196
417,1445408774635,1445408775779
427,1445410570439,1445410570524
428,1445411115073,1445411115103
429,1445411473729,1445411474765
430,1445411955825,1445411957661
431,1445411980628,1445411981046
432,1445413602641,1445413604471
433,1445414273426,1445414273730
434,1445414334562,1445414334713
435,1445414334893,1445414334926
436,1445414335804,1445414336570
437,1445414395974,1445414397386
438,1445414542019,1445414543213
440,1445418857738,1445418858483
441,1445418992882,1445418993545
442,1445419126524,1445419126937
443,1445419215317,1445419215585
444,1445419410245,1445419411622
445,1445419431035,1445419431104
446,1445423557297,1445423557710
447,1445424001078,1445424001924
448,1445424195415,1445424196360
449,1445425499462,1445425499667
450,1445428812209,1445428812779
451,1445428813116,1445428813494
452,1445429009311,1445429010412
453,1445429050688,1445429063104
454,1445429063042,1445429151929
455,1445429155358,1445429160325
456,1445429359103,1445429359563
457,1445429925083,1445429925845
458,1445430036666,1445430038148
459,1445434305933,1445434306428
460,1445434454864,1445434455526
461,1445434525073,1445434525210
464,1445434695405,1445434696633
465,1445436080289,1445436081367
466,1445436117323,1445436117788
467,1445438244063,1445438244084
468,1445442186054,1445442186854
469,1445444280684,1445444281965
470,1445444390351,1445444395772
471,1445444487477,1445444488310
472,1445474283566,1445474286824
473,1445475523579,1445475523917
474,1445477462048,1445477462664
475,1445477476282,1445477476557
476,1445477914974,1445477915807
477,1445478062472,1445478063161
478,1445480366195,1445480366308
479,1445480368007,1445480368111
480,1445480612191,1445480619106
481,1445480620203,1445480620671
482,1445480628961,1445480630146
483,1445480655209,1445480655679
484,1445480718505,1445480726160
485,1445480731845,1445480732212
486,1445480813514,1445480814368
487,1445480816472,1445480817833
488,1445480822713,1445480823666
489,1445480853751,1445480856632
490,1445482211043,1445482211828
491,1445482472934,1445482473680
492,1445483882600,1445483882991
493,1445484098127,1445484098684
494,1445486633565,1445486634136
496,1445486644487,1445486645332
495,1445486638823,1445486639388
497,1445487321790,1445487322634
498,1445487417054,1445487417920
499,1445487664183,1445487665188
500,1445487715800,1445487716457
501,1445487730566,1445487731008
502,1445487747717,1445487749174
503,1445487782212,1445487783262
504,1445487820140,1445487821515
505,1445487826359,1445487827314
506,1445487908767,1445487908839
507,1445487909113,1445487909215
510,1445493470053,1445493470125
512,1445499243295,1445499245307
513,1445500528412,1445500528803
514,1445500985874,1445500986234
515,1445502773664,1445502775770
516,1445502814192,1445502814642
517,1445502830237,1445502831420
518,1445502832225,1445502833970
519,1445502834048,1445502835156
520,1445504201182,1445504201455
521,1445504203045,1445504203496
522,1445504216718,1445504217352
523,1445504265951,1445504266087
524,1445504266476,1445504266725
527,1445506873266,1445506873728
528,1445507033746,1445507034062
529,1445508199498,1445508199647
530,1445510385531,1445510385591
531,1445511753298,1445511753939
532,1445511899622,1445511900561
533,1445515856762,1445515858060
535,1445517487843,1445517488186
536,1445517506250,1445517506271
537,1445517582823,1445517583687
538,1445517584169,1445517584891
539,1445520703140,1445520703407
544,1445523511209,1445523511800
545,1445523964903,1445523965722
546,1445524728350,1445524730981
548,1445527186282,1445527187565
549,1445527915548,1445527916047
550,1445528985549,1445528986176
560,1445531777733,1445531778880
561,1445531963518,1445531963909
562,1445532046135,1445532047087
563,1445532253194,1445532253259
564,1445532511231,1445532511804
565,1445535830654,1445535831096
572,1445538199752,1445538200264
574,1445542499012,1445542499944
575,1445542538216,1445542538239
584,1445543042517,1445543044705
585,1445543044484,1445543044737
586,1445543045909,1445543046054
583,1445543016903,1445543048049
587,1445543050859,1445543058614
588,1445543054616,1445543059553
589,1445543564302,1445543564366
590,1445543790991,1445543791015
591,1445564379198,1445564379648
592,1445564653413,1445564654315
593,1445566154689,1445566155303
594,1445567803672,1445567803735
595,1445567853458,1445567854241
596,1445567923206,1445567953935
597,1445567993574,1445567993974
598,1445568874386,1445568875218
599,1445569974819,1445569975221
600,1445571628268,1445571630377
601,1445574091642,1445574092597
602,1445574177372,1445574178263
603,1445574226043,1445574229274
604,1445574231772,1445574254921
605,1445574257293,1445574258850
614,1445574260677,1445574262718
615,1445574262618,1445574264546
616,1445574264805,1445574269791
617,1445574370575,1445574372261
618,1445574393932,1445574394868
620,1445575016887,1445575017282
619,1445575011599,1445575028115
621,1445575028154,1445575033288
622,1445575035822,1445575038466
624,1445575050286,1445575053600
623,1445575050116,1445575050142
625,1445575116493,1445575117750
626,1445575117614,1445575119020
627,1445575227582,1445575227777
628,1445575778891,1445575779244
629,1445580849282,1445580849307
630,1445586063114,1445586064264
631,1445586870954,1445586871822
632,1445587039689,1445587039868
633,1445587603878,1445587604883
634,1445588754086,1445588755017
635,1445588836495,1445588838199
637,1445589508398,1445589509154
638,1445589526278,1445589527358
639,1445595037013,1445595037753
640,1445595505767,1445595506692
641,1445596159965,1445596160004
643,1445596198419,1445596199475
644,1445596241756,1445596245161
645,1445596648314,1445596648653
646,1445596674407,1445596675044
647,1445596698994,1445596707696
648,1445597410949,1445597411736
649,1445598194328,1445598195541
650,1445598197983,1445598201942
651,1445605798354,1445605800454
652,1445683640768,1445683641513
653,1445683712414,1445683716418
654,1445683730720,1445683731608
655,1445690730067,1445690730575
656,1445715014725,1445715015377
657,1445748395782,1445748395832
658,1445756127407,1445756128337
659,1445756748733,1445756750110
660,1445756769701,1445756770822
661,1445758535559,1445758536129
668,1445764078233,1445764078400
672,1445770452500,1445770452630
679,1445775674879,1445775677013
680,1445776424395,1445776424424
681,1445776486915,1445776487119
